row_id,OBJECTID,AADT,AADT_YEAR,CARTO_CLASS,FLOW_DIRECTION,FROM_LEFT_ADDRESS,FROM_RIGHT_ADDRESS,FROM_STREET,LANES,OWNERSHIP,ROADSEGMENTID,SOURCE,SOURCE_DATE,SPEED_LIMIT,STREET,SUBCATEGORY,TO_LEFT_ADDRESS,TO_RIGHT_ADDRESS,TO_STREET,Shape__Length
18,52836,550,2006,LOCAL STREET,TWOWAY,221,228,RIVER VALLEY DR,2,KIT,601455,30T-04201 STREET NAME FROM BARB F AND ADDRESSING,2004-02-13T00:00:00.000000,40,RIVER BIRCH ST,LOCAL,249,244,RIVER BIRCH CRT,210.290680166039
19,52837,873,2021,LOCAL STREET,TWOWAY,10,9,CLARK AVE,2,KIT,22974,REG PLAN 812,2002-08-13T00:00:00.000000,40,SIEBERT AVE,LOCAL,36,35,HARBER AVE,138.84214106656
20,52838,150,2003,LOCAL STREET,TWOWAY,2,5,ROYAL ORCHARD DR,2,KIT,20852,REG PLAN 1475,2003-04-22T00:00:00.000000,40,ROYAL ORCHARD PL,LOCAL,90,111,CUL DE SAC,283.744881321203
21,52839,255,2003,LOCAL STREET,TWOWAY,57,2,FENWICK CRT,2,KIT,20635,REG PLAN 1671,2003-04-22T00:00:00.000000,40,LYNNHAVEN CRT,LOCAL,97,90,CUL DE SAC,156.007445270426
22,52840,100,2003,LOCAL STREET,TWOWAY,1,6,WINDING WAY,2,KIT,5413,REG PLAN 1391,2003-04-22T00:00:00.000000,40,GREENBOUGH CRT,LOCAL,35,32,CUL DE SAC,136.301642978769
23,52848,420,2003,LOCAL STREET,TWOWAY,28,11,LANCASTER ST E,2,KIT,11132,REG PLAN 44,2003-04-22T00:00:00.000000,40,MANSION ST,LOCAL,56,53,ELLEN ST E,225.612432292246
24,52850,260,2019,LOCAL STREET,TWOWAY,47,48,ROSSFORD CRES,2,KIT,8673,REG PLAN 1257,2003-04-22T00:00:00.000000,40,MARKWOOD DR,LOCAL,161,158,HAZELGLEN DR,505.553822713948
25,52852,1159,2021,LOCAL STREET,TWOWAY,15,18,GLASGOW ST,2,KIT,1284,"UPDATED TO CLAREMONT AVE FROM CLAREMONT BLVD AS PER DISCUSSION WITH D. ADAMS AND B. FAIRBAIRN (MAR 3, '05)",2005-03-04T00:00:00.000000,40,ABERDEEN RD,LOCAL,47,42,CLAREMONT AVE,167.799437439179
26,52854,3900,2009,COLLECTOR,TWOWAY,11,28,HIGHLAND RD W,2,KIT,1702,REG PLAN 295,2003-04-22T00:00:00.000000,40,WEST AVE,MINOR,11,34,BROCK ST,81.4655704286618
27,52859,1124,2023,LOCAL STREET,TWOWAY,34,35,SILVERSPRING CRES,2,KIT,20908,REG PLAN 1182,2003-04-22T00:00:00.000000,40,WARREN RD,LOCAL,44,35,BUTTONWOOD DR,79.1864982279998
28,52862,500,2005,LOCAL STREET,TWOWAY,217,218,GRASSWOOD ST,2,KIT,601188,30T-00204,2004-07-23T00:00:00.000000,40,WATERBEND CRES,LOCAL,301,298,GRASSWOOD ST,302.590277418513
29,52865,340,2003,LOCAL STREET,TWOWAY,132,135,KRUG ST,2,KIT,11254,REG PLAN 697,2003-04-22T00:00:00.000000,40,MERNER AVE,LOCAL,146,147,GLENDALE RD,111.725960400573
30,52866,172,2023,LOCAL STREET,TWOWAY,9,10,MILL ST,2,KIT,11331,REG PLAN 434,2003-04-22T00:00:00.000000,40,WOODLAND AVE,LOCAL,63,64,RUSSEL ST,211.01350640883
31,52878,150,2003,LOCAL STREET,TWOWAY,22,19,LEWIS CRES,2,KIT,22169,REG PLAN 1340,2003-05-30T00:00:00.000000,40,MANOR DR,LOCAL,96,103,LEWIS CRES,338.629208878638
32,52879,1629,2008,COLLECTOR,TWOWAY,802,801,FAIRWAY RD N,2,KIT,22429,REG PLAN 1798,2003-12-18T00:00:00.000000,40,FAIRWAY CRES,MINOR,872,883,FAIRWAY CRT,400.828958745985
33,52884,500,2007,LOCAL STREET,TWOWAY,49,30,RIVER BIRCH ST,2,KIT,602136,30T-04201 STREET NAME FROM BARB F AND ADDRESSING,2004-02-13T00:00:00.000000,40,RIVER VALLEY DR,LOCAL,89,98,RIVER BIRCH ST,421.209063395746
34,52885,20203,2015,ARTERIAL,TWOWAY,1188,1191,WESTMOUNT RD E,6,REG,40196,58M-78,2002-08-13T00:00:00.000000,50,FISCHER HALLMAN RD,MAJOR,1188,1191,ROCKWOOD RD,321.931618346659
35,52886,4693,2022,LOCAL STREET,TWOWAY,190,333,WABANAKI DR,2,KIT,22131,RCP 1524,2003-04-22T00:00:00.000000,40,HIDDEN VALLEY RD,LOCAL,760,735,HIDDEN VALLEY CRES,2270.03716482746
36,52888,1254,2022,LOCAL STREET,TWOWAY,25,20,KINGSWAY DR,2,KIT,10005,REG PLAN 254,2002-08-13T00:00:00.000000,40,FOURTH AVE,LOCAL,135,126,CONNAUGHT ST,411.437347556354
37,52891,450,2003,LOCAL STREET,TWOWAY,3,4,MILLWOOD CRES,2,KIT,22003,REG PLAN 1404,2003-04-22T00:00:00.000000,40,HARCOURT CRES,LOCAL,109,104,MILLWOOD CRES,356.832452434348
38,52892,700,2003,LOCAL STREET,TWOWAY,119,136,YAGER AVE,2,KIT,6575,REG PLAN 924,2003-04-22T00:00:00.000000,40,SOUTHMOOR DR,LOCAL,141,142,AVALON PL,91.9485071986816
39,52895,14319,2015,ARTERIAL,TWOWAY,21,14,KING ST E,3,REG,9235,REG PLAN 404,2003-04-22T00:00:00.000000,50,OTTAWA ST S,MAJOR,21,22,CHARLES ST E,90.0067318147454
40,52903,550,2003,LOCAL STREET,TWOWAY,40,31,MCINTYRE DR,2,KIT,9586,58R-5917,2002-08-13T00:00:00.000000,50,MCBRINE DR,LOCAL,40,55,MCBRINE PL,232.182053565345
41,52905,800,2003,LOCAL STREET,TWOWAY,21,16,BONNYLYN DR,2,KIT,20695,REG PLAN 1196,2003-04-22T00:00:00.000000,40,KELLY DR,LOCAL,25,32,FURNESS DR,88.1269459936758
42,52906,675,2003,LOCAL STREET,TWOWAY,10,11,QUEENS BLVD,2,KIT,20997,REG PLAN 1196,2003-04-22T00:00:00.000000,40,WARREN RD,LOCAL,16,15,SILVERSPRING CRES,87.7239878241219
43,52907,2529,2023,COLLECTOR,TWOWAY,2,3,VICTORIA ST S,2,KIT,20844,REG PLAN 1713,2003-04-22T00:00:00.000000,40,OPRINGTON DR,MINOR,26,31,BENESFORT DR,138.51564429441
44,52908,600,2003,LOCAL STREET,TWOWAY,22,11,COUNTRY HILL DR,2,KIT,9292,REG PLAN 1329,2002-08-13T00:00:00.000000,40,CHERRY HILL DR,LOCAL,22,27,COACH HILL DR,113.690069933282
45,52910,200,2003,LOCAL STREET,TWOWAY,33,2,VERONICA DR,2,KIT,40263,UNKNOWN,2003-12-18T00:00:00.000000,40,BANCROFT ST,LOCAL,61,74,OLD CHICOPEE DR,239.307793946391
46,52912,500,2005,LOCAL STREET,TWOWAY,141,140,DOON SOUTH DR,2,KIT,601474,58M-487,2009-11-02T00:00:00.000000,40,CRANBROOK ST,LOCAL,267,266,STEEPLERIDGE ST,335.048342271289
47,52919,4347,2021,COLLECTOR,TWOWAY,2090,2053,BINGEMANS CENTRE DR,2,KIT,600367,BY-LAW 2003-149,2003-09-05T00:00:00.000000,40,SHIRLEY DR,MINOR,2090,2053,HESH CRES,335.860688344598
48,52921,111,2022,LOCAL STREET,TWOWAY,22,25,BRIARGATE DR,2,KIT,9136,REG PLAN 1368,2002-08-13T00:00:00.000000,40,GREENOCK DR,LOCAL,100,101,BRIARGATE DR,279.145614533867
49,52923,2200,2009,COLLECTOR,TWOWAY,295,300,GALLARNO CRT,2,KIT,5510,REG PLAN 1273,2003-04-22T00:00:00.000000,40,WESTWOOD DR,MINOR,317,314,INADALE CRT,103.457956500514
50,52927,200,2003,LOCAL STREET,TWOWAY,12,11,UPLANDS DR,2,KIT,6116,REG PLAN 1052,2003-04-22T00:00:00.000000,40,CLOVERDALE CRES,LOCAL,84,83,UPLANDS DR,396.875168703704
51,52928,800,2003,LOCAL STREET,TWOWAY,9,12,BIRCHCLIFF AVE,2,KIT,6273,REG PLAN 1062,2003-04-22T00:00:00.000000,40,UPLANDS DR,LOCAL,15,12,CLOVERDALE CRES,85.0141249060218
52,52930,400,2003,LOCAL STREET,TWOWAY,210,203,DEER RIDGE DR,2,KIT,600084,58R-14077,2003-04-22T00:00:00.000000,40,TERRACE WOOD CRES,LOCAL,260,257,TERRACE WOOD DR,273.264711485824
53,52932,1643,2019,COLLECTOR,TWOWAY,1274,1263,VALEBROOK ST,2,KIT,602046,58M-R12853,2003-12-18T00:00:00.000000,40,OLD ZELLER DR,MINOR,1330,1337,EDEN OAK TRAIL,241.337615856035
54,52937,500,2003,LOCAL STREET,TWOWAY,12,15,END,2,KIT,9925,REG PLAN 934,2003-12-18T00:00:00.000000,40,WEDGEWOOD DR,LOCAL,56,51,ADA ST,169.227638995983
55,52938,1000,2003,LOCAL STREET,TWOWAY,379,380,LOUISA ST,2,KIT,11109,REG PLAN 400,2003-04-22T00:00:00.000000,40,DUKE ST W,LOCAL,395,404,SHANLEY ST,122.642476410381
56,52939,7175,1996,COLLECTOR,TWOWAY,12,21,KING ST W,2,KIT,8900,REG PLAN 376,2003-04-22T00:00:00.000000,50,WELLINGTON ST N,MINOR,36,27,MOORE AVE,155.454337338949
57,52940,728,2020,COLLECTOR,TWOWAY,2,5,MOORE AVE,2,KIT,8823,REG PLAN 172,2003-04-22T00:00:00.000000,40,GUELPH ST,MINOR,32,29,DEKAY ST,128.177796622069
58,52942,18065,2015,ARTERIAL,TWOWAY,611,610,JONES PL,4,REG,13115,REG PLAN 2718,2003-02-10T00:00:00.000000,50,LANCASTER ST W,MAJOR,623,624,BRIDGE ST W,85.0990328741455
59,52943,2800,2003,LOCAL STREET,TWOWAY,221,222,BEDFORD RD,2,KIT,9384,REG PLAN 262,2003-04-22T00:00:00.000000,40,SYDNEY ST S,LOCAL,243,244,COURTLAND AVE E,99.0603503412866
60,52944,1000,2003,LOCAL STREET,TWOWAY,191,192,KENNEDY AVE,2,KIT,11663,REG PLAN 404,2003-04-22T00:00:00.000000,40,KENT AVE,LOCAL,209,208,COURTLAND AVE E,81.0163441415108
61,52946,400,2003,LOCAL STREET,TWOWAY,6,7,HICKSON DR,2,KIT,22923,REG PLAN 1055,2003-12-18T00:00:00.000000,40,CRAIG DR,LOCAL,40,37,YULE PL,169.948889463956
62,52949,1000,2003,LOCAL STREET,TWOWAY,108,115,MONTCALM DR,2,KIT,23124,REG PLAN 1180,2003-12-18T00:00:00.000000,40,GIBSON DR,LOCAL,120,119,OLD YORK CRES,97.4556162535388
63,52950,4554,2022,COLLECTOR,TWOWAY,208,207,AHRENS ST W,2,KIT,6682,REG PLAN 376,2003-04-22T00:00:00.000000,50,WELLINGTON ST N,MINOR,248,249,MARGARET AVE,243.2643835816
64,52951,217,2003,LOCAL STREET,TWOWAY,2,3,LANCASTER ST E,2,KIT,11157,REG PLAN 425,2003-04-22T00:00:00.000000,40,CLARENCE PL,LOCAL,16,25,GORDON AVE,112.518560672498
65,52952,300,2003,LOCAL STREET,FROMTO,30,27,SCOTT ST,1,KIT,6810,REG PLAN 148,2003-04-22T00:00:00.000000,40,IRVIN ST,LOCAL,70,69,LANCASTER ST E,185.121670998884
66,52953,830,2021,LOCAL STREET,TWOWAY,42,33,GOUDIES LANE,2,KIT,6655,REG PLAN 401,2003-04-22T00:00:00.000000,40,ONTARIO ST N,LOCAL,62,33,DUKE ST W,64.7707658825533
67,52954,799,2021,LOCAL STREET,TWOWAY,96,141,DUKE ST W,2,KIT,6653,REG PLAN 401,2003-04-22T00:00:00.000000,40,ONTARIO ST N,LOCAL,108,151,WEBER ST W,140.922870191361
68,52955,450,2003,LOCAL STREET,TWOWAY,12,11,ROSEMOUNT DR,2,KIT,15837,REG PLAN 779,2003-12-18T00:00:00.000000,40,ISLINGTON AVE,LOCAL,120,121,SHERWOOD AVE,392.501209054487
69,52960,400,2003,LOCAL STREET,TWOWAY,44,49,YULE PL,2,KIT,22885,REG PLAN 1055,2003-12-18T00:00:00.000000,40,CRAIG DR,LOCAL,132,129,HICKSON DR,400.075461371923
70,52962,13273,2015,ARTERIAL,TWOWAY,296,293,LYDIA ST,2,REG,6919,REG PLAN 111,2003-04-22T00:00:00.000000,50,FREDERICK ST,MAJOR,300,305,LOCUST ST,60.6605955795874
71,52963,14688,2015,ARTERIAL,TWOWAY,304,309,LOCUST ST,2,REG,6929,REG PLAN 197,2003-04-22T00:00:00.000000,50,FREDERICK ST,MAJOR,310,311,MERNER AVE,34.3483936455289
72,52964,12566,2015,ARTERIAL,TWOWAY,336,333,FILBERT ST,3,REG,9788,REG PLAN 117,2003-04-22T00:00:00.000000,50,FREDERICK ST,MAJOR,342,333,EAST AVE,36.9247207100561
73,52965,14896,2015,ARTERIAL,TWOWAY,362,369,DUNHAM AVE,3,REG,9780,REG PLAN 279,2003-04-22T00:00:00.000000,50,FREDERICK ST,MAJOR,380,385,EDNA ST,236.976399036185
74,52969,1560,2003,LOCAL STREET,TWOWAY,658,653,MILL VIEW ST,2,KIT,16081,REG PLAN 1487,2004-02-09T00:00:00.000000,40,MILL PARK DR,LOCAL,662,661,OLD MILL RD,86.7401927336207
75,52970,270,2018,LOCAL STREET,TWOWAY,134,99,PROSPECT AVE,2,KIT,13243,REG PLAN 914,2003-05-30T00:00:00.000000,40,SHANTZ LANE,LOCAL,150,133,ROSS AVE,223.48702724335
76,52977,250,2003,LOCAL STREET,TWOWAY,3,2,RENFREW ST,2,KIT,600172,58M-568,2013-12-12T00:00:00.000000,40,CASTLEBAY ST,LOCAL,67,62,RENFREW ST,197.144826607296
77,52980,1350,2003,LOCAL STREET,TWOWAY,7,4,TUERR DR,2,KIT,9695,REG PLAN 1416,2002-08-13T00:00:00.000000,40,COUNTRYSIDE CRES,LOCAL,19,12,KESSELRING DR,90.1822278476606
78,52982,5410,2008,COLLECTOR,TWOWAY,171,162,FOREST HILL DR,2,KIT,6249,REG PLAN 883,2003-04-22T00:00:00.000000,40,GREENBROOK DR,MINOR,171,176,FARMBROOK PL,98.224258755395
79,52983,1301,2022,LOCAL STREET,TWOWAY,787,786,SOUTHMOOR DR,2,KIT,6584,REG PLAN 702,2003-04-22T00:00:00.000000,40,STIRLING AVE S,LOCAL,839,852,AVALON PL,246.459444470748
80,52985,824,2019,LOCAL STREET,TWOWAY,76,75,ACTIVA AVE,2,KIT,40330,58M-197,2003-12-09T00:00:00.000000,40,DONNENWERTH DR,LOCAL,144,137,PERIWINKLE ST,250.53481885343
81,52987,343,2019,LOCAL STREET,TWOWAY,7,6,KINGSWOOD DR,2,KIT,10832,REG PLAN 1246,2002-08-13T00:00:00.000000,30,LUCERNE DR,LOCAL,105,108,SELKIRK DR,423.549390263439
82,52988,18653,2015,ARTERIAL,TWOWAY,409,378,RAITAR AVE,4,REG,1575,REG PLAN 373,2003-04-22T00:00:00.000000,50,WEBER ST W,MAJOR,409,380,WATERLOO BOUNDARY,60.7248627974953
83,52992,250,2003,LOCAL STREET,TWOWAY,4,11,KESTREL ST,2,KIT,540399,58M-181,2003-06-25T00:00:00.000000,40,OLD COTTAGE PL,LOCAL,22,15,OLD COTTAGE CRT,116.758722493739
84,52993,1000,2003,LOCAL STREET,TWOWAY,6,3,FALCONRIDGE DR,2,KIT,540396,PLAN 58R-12968,2003-02-10T00:00:00.000000,40,KESTREL ST,LOCAL,10,11,OLD COTTAGE PL,70.073045736097
85,52994,1000,2003,LOCAL STREET,TWOWAY,14,25,OLD COTTAGE PL,2,KIT,540397,PLAN 58M-181,2003-02-10T00:00:00.000000,40,KESTREL ST,LOCAL,58,61,RIVERLINK WAY,204.902091355098
86,52996,20911,2015,ARTERIAL,TWOWAY,70,63,DUKE ST W,5,REG,7052,REG PLAN 374,2003-04-22T00:00:00.000000,50,VICTORIA ST N,MAJOR,100,97,WEBER ST W,179.021427534846
87,52997,100,2003,LOCAL STREET,TWOWAY,515,524,EVENSTONE AVE,2,KIT,600487,58M-571,2014-05-07T00:00:00.000000,40,EVENSTONE CRT,LOCAL,553,548,CUL DE SAC,286.037099341491
88,52999,150,2007,LOCAL STREET,TWOWAY,901,900,COUNTRYSTONE CRES,2,KIT,600864,30T-01205-DA,2004-03-11T00:00:00.000000,40,GARDEN PATH PL,LOCAL,945,944,CUL DE SAC,105.311498285199
89,53001,3593,2015,COLLECTOR,TWOWAY,468,475,WINDING WAY,2,KIT,5384,REG PLAN 1391,2003-04-22T00:00:00.000000,40,WESTHEIGHTS DR,MINOR,500,495,WINDING WAY,132.884415274823
90,53002,1000,2003,LOCAL STREET,TWOWAY,10,11,CENTURY HILL DR,2,KIT,9320,REG PLAN 1375,2002-08-13T00:00:00.000000,40,DEVONGLEN DR,LOCAL,20,21,DEVONGLEN CRT,89.1720499341261
91,53003,3403,2003,COLLECTOR,TWOWAY,100,135,TU LANE ST,2,KIT,16013,REG PLAN 1745,2003-04-22T00:00:00.000000,40,GATEWAY PARK DR,MINOR,190,135,KING ST E,425.007837800229
92,53006,450,2003,LOCAL STREET,TWOWAY,72,65,CAMERON ST N,2,KIT,9855,REG PLAN 233,2003-04-22T00:00:00.000000,40,TROY ST,LOCAL,76,81,PANDORA AVE N,104.07679542684
93,53007,449,1996,LOCAL STREET,TWOWAY,178,177,CAMERON ST N,2,KIT,9397,REG PLAN 284,2003-04-22T00:00:00.000000,40,SAMUEL ST,LOCAL,202,189,PANDORA AVE N,100.774438078298
94,53008,415,1996,LOCAL STREET,TWOWAY,204,203,PANDORA AVE N,2,KIT,9390,REG PLAN 305,2003-04-22T00:00:00.000000,40,SAMUEL ST,LOCAL,224,221,FAIRVIEW AVE,77.1758453013329
95,53009,509,2004,LOCAL STREET,TWOWAY,38,35,DUKE ST E,2,KIT,6847,REG PLAN 77,2003-04-22T00:00:00.000000,40,PANDORA AVE N,LOCAL,62,63,WEBER ST E,140.294400194407
96,53012,100,2013,LOCAL STREET,TWOWAY,901,900,THOMAS SLEE DR,2,KIT,602331,58M-528,2011-11-25T00:00:00.000000,40,HIDEAWAY CRT,LOCAL,921,916,CUL DE SAC,49.133918177509
97,53013,100,2003,LOCAL STREET,TWOWAY,501,500,BRIDLEWREATH ST,2,KIT,40327,58M-171,2002-08-13T00:00:00.000000,40,BRIDLEWREATH CRT,LOCAL,517,520,CUL DE SAC,30.4774602347007
98,53014,100,2003,LOCAL STREET,TWOWAY,202,203,IDLE CREEK DR,2,KIT,22449,REG PLAN 1647,2003-12-18T00:00:00.000000,40,BRIARFIELD CRT,LOCAL,230,209,CUL DE SAC,62.1126352020238
99,53015,855,1997,LOCAL STREET,TWOWAY,5,2,NEW DUNDEE RD,2,KIT,22639,REG PLAN 1650,2003-04-22T00:00:00.000000,40,EXECUTIVE PL,LOCAL,37,50,CUL DE SAC,300.035532493954
100,53016,100,2003,LOCAL STREET,TWOWAY,927,936,SORRENTO ST,2,KIT,600556,30T-01201,2003-06-10T00:00:00.000000,40,BIANCA CRT,LOCAL,991,996,CUL DE SAC,112.990847096002
101,53018,2795,2022,LOCAL STREET,TWOWAY,118,101,WATERWILLOW CRT,2,KIT,40047,58M-15,2003-07-29T00:00:00.000000,40,WILDERNESS DR,LOCAL,142,145,MOUNTAIN MINT CRES,135.181502560383
102,53027,400,2003,LOCAL STREET,TWOWAY,46,51,LUELLA ST,2,KIT,6934,REG PLAN 79,2003-04-22T00:00:00.000000,40,CHESTNUT ST,LOCAL,66,59,MANSION ST,75.2470435082139
103,53030,800,2003,LOCAL STREET,TWOWAY,65,100,OTONABEE DR,2,KIT,21849,MCP 1036,2002-08-13T00:00:00.000000,50,SASAGA DR,LOCAL,101,100,END,192.68761708288
104,53031,1957,2017,LOCAL STREET,TWOWAY,44,45,BLEAMS RD,3,KIT,21850,MCP 1036,2002-08-13T00:00:00.000000,50,OTONABEE DR,LOCAL,160,145,SASAGA DR,660.091121910403
105,53032,6800,2003,COLLECTOR,TWOWAY,10,31,RIVER RD E,3,KIT,23139,REG PLAN 1085,2003-12-18T00:00:00.000000,40,LORRAINE AVE,MINOR,26,31,BIRKSHIRE CRT,121.861126151874
106,53033,926,2021,LOCAL STREET,TWOWAY,204,211,LOWER CANADA CRES,2,KIT,21935,REG PLAN 1406,2004-02-09T00:00:00.000000,40,UPPER CANADA DR,LOCAL,228,241,PIONEER DR,248.145325429541
107,53038,300,2004,LOCAL STREET,TWOWAY,111,100,PURPLE SAGE CRES,2,KIT,600750,58M-300,2003-12-09T00:00:00.000000,40,SNOWDROP CRES,LOCAL,117,130,RED CLOVER CRES,72.5374037738917
108,53044,2349,2022,COLLECTOR,TWOWAY,157,130,SEABROOK DR,2,KIT,600571,30T-01201,2003-06-10T00:00:00.000000,30,WOODBINE AVE,MINOR,179,172,PARKVALE DR,106.302635375573
109,53046,29636,2015,ARTERIAL,TWOWAY,1284,1283,NATCHEZ RD,5,REG,10267,GIS STAFF,2003-06-10T00:00:00.000000,60,VICTORIA ST N,MAJOR,1412,1381,SMETANA DR,503.663445007093
110,53047,1800,2003,LOCAL STREET,TWOWAY,291,288,CONNELLY DR,2,KIT,5571,REG PLAN 1448,2003-04-22T00:00:00.000000,40,ROLLING MEADOWS DR,LOCAL,295,288,WESTVIEW CRES,43.4334651254173
111,53055,497,2023,LOCAL STREET,TWOWAY,508,565,TRAYNOR AVE,2,KIT,10731,REG PLAN 1079,2002-08-13T00:00:00.000000,40,GREENFIELD AVE,LOCAL,600,595,KINGSWAY DR,425.24549586423
112,53058,200,2010,LOCAL STREET,TWOWAY,10,7,DEVONGLEN DR,2,KIT,9678,REG PLAN 1417,2002-08-13T00:00:00.000000,40,SOUTHWOOD DR,LOCAL,84,93,SOUTHWOOD CRT,313.347088845919
113,53059,1801,2002,COLLECTOR,TWOWAY,725,700,LAURENTIAN DR,2,KIT,9118,REG PLAN 1441,2002-08-13T00:00:00.000000,40,ERINBROOK DR,MINOR,725,700,UXBRIDGE CRES,153.643104577395
114,53060,1360,2021,COLLECTOR,TWOWAY,221,224,ERINBROOK DR,2,KIT,9622,REG PLAN 1441,2002-08-13T00:00:00.000000,40,RITTENHOUSE RD,MINOR,249,252,ROSEBANK CRES,163.334050421211
115,53061,1097,2018,LOCAL STREET,TWOWAY,333,302,WAKE ROBIN DR,2,KIT,21744,58M-55,2003-07-29T00:00:00.000000,40,WAKE ROBIN CRES,LOCAL,431,432,WAKE ROBIN DR,319.700173852192
116,53062,1660,2021,COLLECTOR,TWOWAY,347,250,GUELPH ST,2,KIT,12649,58R-11960,2003-04-22T00:00:00.000000,40,RIVERBEND DR,MAJOR,575,630,BRIDGEPORT RD,1293.06448549854
117,53065,100,2003,LOCAL STREET,TWOWAY,82,73,RISTAU PL,2,KIT,9511,REG PLAN 1466,2002-08-13T00:00:00.000000,40,RISTAU CRES,LOCAL,92,93,DINISON CRES,108.299454743294
118,53066,2500,2009,COLLECTOR,TWOWAY,196,197,LITTLEFIELD CRES,2,KIT,9477,REG PLAN 1369,2002-08-13T00:00:00.000000,40,WILLIAMSBURG RD,MINOR,204,197,MARCON CRT,82.5758887592614
119,53067,1305,2014,COLLECTOR,TWOWAY,635,628,WARWICK CRT,2,KIT,9541,REG PLAN 1441,2002-08-13T00:00:00.000000,40,ERINBROOK DR,MINOR,643,630,FAIRCREST CRT,69.9463105820263
120,53070,5405,2020,COLLECTOR,TWOWAY,690,687,CONNELLY DR,2,KIT,21204,REG PLAN 1448,2003-04-22T00:00:00.000000,40,WESTHEIGHTS DR,MINOR,714,703,WEST ACRES CRES,122.572403107803
